order_id,title,quantity,status,created_at,started_at,completed_at,wait_time_seconds,completion_time_seconds,completion_time_minutes,total_requeues,avg_requeue_time_ms,min_requeue_time_ms,max_requeue_time_ms
272,Batch Test,242,completed,2025-12-15 17:05:58.030538+00,2025-12-15 17:55:57.694129+00,2025-12-15 18:52:44.785563+00,3000,3407,56.78,55,4857.38,4279,5469
273,Batch Test,158,completed,2025-12-15 17:05:58.341249+00,2025-12-15 17:57:17.577819+00,2025-12-15 18:53:52.944798+00,3079,3395,56.59,32,14189.00,4724,21455
274,Batch Test,113,completed,2025-12-15 17:05:58.561563+00,2025-12-15 17:58:12.702688+00,2025-12-15 18:50:01.438271+00,3134,3109,51.81,26,5125.54,4954,5412
275,Batch Test,263,completed,2025-12-15 17:05:58.922657+00,2025-12-15 17:58:54.579711+00,2025-12-15 19:01:55.401097+00,3176,3781,63.01,32,5041.78,4454,5602
276,Batch Test,283,completed,2025-12-15 17:05:59.437102+00,2025-12-15 18:00:26.123837+00,2025-12-15 19:06:53.98808+00,3267,3988,66.46,90,12407.60,4129,25799
277,Batch Test,165,completed,2025-12-15 17:05:59.838228+00,2025-12-15 18:02:00.328525+00,2025-12-15 19:07:01.023665+00,3360,3901,65.01,63,10028.02,4332,25276
278,Batch Test,102,completed,2025-12-15 17:06:00.078433+00,2025-12-15 18:02:58.208343+00,2025-12-15 19:06:47.688782+00,3418,3829,63.82,32,4852.38,4186,6113
279,Batch Test,289,completed,2025-12-15 17:06:00.222115+00,2025-12-15 18:03:36.818032+00,2025-12-15 19:07:03.061806+00,3457,3806,63.44,67,8305.04,4219,22720
280,Batch Test,245,completed,2025-12-15 17:06:00.752071+00,2025-12-15 18:05:08.593631+00,2025-12-15 19:05:53.589756+00,3548,3645,60.75,28,6264.25,4192,22729
281,Batch Test,107,completed,2025-12-15 17:06:01.229498+00,2025-12-15 18:06:25.993337+00,2025-12-15 19:08:07.109326+00,3625,3701,61.69,32,21619.91,4258,23235
282,Batch Test,153,completed,2025-12-15 17:06:01.382136+00,2025-12-15 18:07:04.990503+00,2025-12-15 19:12:27.580374+00,3664,3923,65.38,75,9308.87,4198,23254
283,Batch Test,200,completed,2025-12-15 17:06:01.5893+00,2025-12-15 18:08:10.190238+00,2025-12-15 19:18:37.937398+00,3729,4228,70.46,84,9231.31,4599,23494
284,Batch Test,111,completed,2025-12-15 17:06:01.847407+00,2025-12-15 18:09:18.258018+00,2025-12-15 19:18:32.943847+00,3796,4155,69.24,21,18228.43,4543,23440
285,Batch Test,209,completed,2025-12-15 17:06:02.018653+00,2025-12-15 18:09:55.728811+00,2025-12-15 19:17:49.475166+00,3834,4074,67.90,34,5649.41,5199,6297
286,Batch Test,220,completed,2025-12-15 17:06:02.270679+00,2025-12-15 18:11:00.763973+00,2025-12-15 19:18:52.62356+00,3898,4072,67.86,32,5663.22,4465,6249
287,Batch Test,278,completed,2025-12-15 17:06:02.606261+00,2025-12-15 18:12:12.006471+00,2025-12-15 19:22:32.381838+00,3969,4220,70.34,86,12452.87,4526,25173
288,Batch Test,143,completed,2025-12-15 17:06:02.973997+00,2025-12-15 18:13:42.954231+00,2025-12-15 19:24:31.372373+00,4060,4248,70.81,28,5584.61,5354,6383
289,Batch Test,158,completed,2025-12-15 17:06:03.304719+00,2025-12-15 18:14:31.568222+00,2025-12-15 19:30:28.228465+00,4108,4557,75.94,33,11980.85,5024,26868
290,Batch Test,126,completed,2025-12-15 17:06:03.537781+00,2025-12-15 18:15:28.314573+00,2025-12-15 19:25:40.3398+00,4165,4212,70.20,33,10878.36,6351,27712
291,Batch Test,277,completed,2025-12-15 17:06:03.707714+00,2025-12-15 18:16:11.599693+00,2025-12-15 19:28:08.407767+00,4208,4317,71.95,62,10705.34,5077,27202
292,Batch Test,164,completed,2025-12-15 17:06:04.244239+00,2025-12-15 18:17:54.487715+00,2025-12-15 19:39:11.647217+00,4310,4877,81.29,46,21529.11,5325,26552
293,Batch Test,143,completed,2025-12-15 17:06:04.703962+00,2025-12-15 18:18:48.259997+00,2025-12-15 19:31:41.980555+00,4364,4374,72.90,27,7202.07,4669,8203
294,Batch Test,244,completed,2025-12-15 17:06:04.911298+00,2025-12-15 18:19:38.467485+00,2025-12-15 19:39:10.108085+00,4414,4772,79.53,39,10688.18,4763,24936
295,Batch Test,282,completed,2025-12-15 17:06:05.193284+00,2025-12-15 18:20:56.355056+00,2025-12-15 19:36:17.188815+00,4491,4521,75.35,21,6390.29,4408,21359
296,Batch Test,118,completed,2025-12-15 17:06:05.769793+00,2025-12-15 18:22:32.820561+00,2025-12-15 19:37:34.150907+00,4587,4501,75.02,12,8126.92,5971,20786
297,Batch Test,286,completed,2025-12-15 17:06:05.973792+00,2025-12-15 18:23:10.643267+00,2025-12-15 19:51:19.025699+00,4625,5288,88.14,86,5490.19,4375,7212
298,Batch Test,267,completed,2025-12-15 17:06:06.377192+00,2025-12-15 18:24:46.072183+00,2025-12-15 19:51:24.072559+00,4720,5198,86.63,70,5396.29,4161,21010
